,t,H_x,dPsi,ATP_x,ADP_x,AMP_x,GTP_x,GDP_x,Pi_x,NADH_x,QH2_x,OAA_x,ACCOA_x,CIT_x,ICIT_x,AKG_x,SCOA_x,COASH_x,SUC_x,FUM_x,MAL_x,GLU_x,ASP_x,K_x,Mg_x,O2_x,CO2tot_x,Cred_i,ATP_i,ADP_i,AMP_i,Pi_i,H_i,Mg_i,K_i,ATP_c,ADP_c,Pi_c,H_c,Mg_c,K_c,PYR_x,PYR_i,PYR_c,CIT_i,CIT_c,AKG_i,AKG_c,SUC_i,SUC_c,MAL_i,MAL_c,ASP_i,ASP_c,GLU_i,GLU_c,FUM_i,FUM_c,ICIT_i,ICIT_c,GLC_c,G6P_c,PCr_c,AMP_c
0,0.0,4.9445682e-08,159.763746,0.000980310651,0.00139468935,0.000375,0.00213605999,0.00286397001,0.00596404775,6.26326288e-05,0.000281510568,1.42221113e-10,0.00300855373,0.000860862501,1.68141513e-05,0.000833678891,6.53701589e-08,1.24169868e-06,1.9153172e-05,2.17728435e-05,1.05001221e-05,0.00781325727,9.33456035e-10,0.123762721,0.00204478558,6.69e-05,0.0214,0.000587830773,0.00233313719,0.000375528768,3.97460558e-05,0.00363317537,6.3096e-08,0.001003,0.13,0.00232607099,0.000382594969,0.00363501215,6.3096e-08,0.0004,0.11,0.000176746364,0.000153123144,0.00015375,0.000529858412,0.000529858419,0.000487545358,0.000487545354,1.14089807e-05,1.14089807e-05,6.14061438e-06,6.14061437e-06,2.79715128e-07,2.7971513e-07,0.00553787414,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.00460957541,4.13812337e-05
1,6.089607815321318e-09,4.9445679786170604e-08,159.76376043813661,0.0009803106511575641,0.001394689349842436,0.000375,0.002136059989999946,0.002863970010000054,0.005964047749842891,6.263255618766594e-05,0.00028151062711780436,1.3858741864306826e-10,0.0030085537217347047,0.0008608625009049482,1.681415177390992e-05,0.0008336788914574024,6.536922753238215e-08,1.241707876662622e-06,1.9153171999940262e-05,2.177284350000625e-05,1.0500125828866943e-05,0.007813257270000167,9.334559144588422e-10,0.12376272099234108,0.0020447855765693876,6.69e-05,0.0214,0.0005878309940010669,0.002333137190000782,0.00037552876799916613,3.974605580010549e-05,0.0036331753699941098,6.3096e-08,0.001003,0.13,0.002326071000726992,0.00038259495827345905,0.0036350121392266376,6.3096e-08,0.0004,0.11,0.00017674637236035038,0.00015312314399999852,0.00015375,0.000529858412000025,0.0005298584189999859,0.00048754535799999926,0.00048754535400000805,1.140898070000016e-05,1.14089807e-05,6.14061438002907e-06,6.140614370000021e-06,2.797151279999721e-07,2.7971512999999596e-07,0.005537874139999576,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.0046095754100459775,4.1381233699547015e-05
2,1.2179215630642636e-08,4.944567757457664e-08,159.76377483928516,0.00098031065147433,0.00139468934952567,0.000375,0.0021360599899998382,0.0028639700100001617,0.005964047749527037,6.263248357867441e-05,0.0002815106862353586,1.350494370028767e-10,0.0030085537135621037,0.0008608625007172768,1.6814152247813574e-05,0.0008336788919146718,6.536829623959708e-08,1.2417169805563159e-06,1.9153171999820966e-05,2.1772843500018572e-05,1.0500129554758453e-05,0.0078132572700005,9.334556764561047e-10,0.12376272098473996,0.002044785573145597,6.69e-05,0.0214,0.0005878312150017614,0.002333137190002184,0.0003755287679977132,3.9746055800209914e-05,0.003633175369982333,6.3096e-08,0.001003,0.13,0.0023260710114081738,0.0003825949475931879,0.0036350121284533586,6.3096e-08,0.0004,0.11,0.00017674638072062983,0.00015312314399999773,0.00015375,0.0005298584120000501,0.0005298584189999718,0.00048754535799996874,0.00048754535400001613,1.1408980700000319e-05,1.14089807e-05,6.140614380087915e-06,6.140614370000041e-06,2.7971512799994513e-07,2.7971512999999194e-07,0.005537874139998719,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410137284,4.138123369863423e-05
3,2.4358431261285273e-08,4.944567315588884e-08,159.7638035678017,0.0009803106524254232,0.001394689348574577,0.000375,0.002136059989999516,0.002863970010000484,0.0059640477485786774,6.263233836722036e-05,0.00028151080446996727,1.2815992755414237e-10,0.0030085536973974785,0.000860862500161506,1.6814153195608334e-05,0.0008336788928289515,6.536643380338768e-08,1.2417350076178736e-06,1.9153171999463626e-05,2.1772843500055008e-05,1.0500137000744958e-05,0.00781325727000149,9.334549716306041e-10,0.12376272096965243,0.0020447855663102642,6.69e-05,0.0214,0.0005878316570024065,0.002333137190006223,0.00037552876799357577,3.974605580041595e-05,0.003633175369947016,6.3096e-08,0.001003,0.13,0.002326071032679342,0.0003825949263247564,0.0036350121069069676,6.3096e-08,0.0004,0.11,0.00017674639744104755,0.0001531231439999976,0.00015375,0.0005298584120001002,0.0005298584189999436,0.0004875453579998482,0.00048754535400003223,1.1408980700000636e-05,1.14089807e-05,6.140614380265102e-06,6.140614370000082e-06,2.7971512799989235e-07,2.797151299999839e-07,0.00553787413999614,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410410133,4.13812336958932e-05
4,3.653764689192791e-08,4.944566874625941e-08,159.76383214914787,0.0009803106540099552,0.001394689346990045,0.000375,0.0021360599899989795,0.0028639700100010204,0.005964047746998702,6.263219316851372e-05,0.0002815109227035773,1.2163343386388374e-10,0.0030085536815844323,0.0008608624992544519,1.681415414337794e-05,0.0008336788937427256,6.536457166529316e-08,1.2417526828021758e-06,1.915317199886954e-05,2.177284350011431e-05,1.0500144435445559e-05,0.00781325727000312,9.334538213079148e-10,0.12376272095479258,0.0020447855594966542,6.69e-05,0.0214,0.0005878320990015659,0.002333137190012719,0.00037552876798698816,3.9746055800615e-05,0.0036331753698881845,6.3096e-08,0.001003,0.13,0.002326071053768968,0.00038259490523969027,0.00363501208536091,6.3096e-08,0.0004,0.11,0.00017674641416118398,0.0001531231440000004,0.00015375,0.0005298584120001503,0.0005298584189999154,0.00048754535799960883,0.00048754535400004833,1.140898070000095e-05,1.14089807e-05,6.140614380561189e-06,6.140614370000123e-06,2.797151279998406e-07,2.7971512999997584e-07,0.005537874139991831,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410862618,4.138123369132946e-05
5,4.8716862522570546e-08,4.9445664345799305e-08,159.76386058410327,0.0009803106562245676,0.0013946893447754326,0.000375,0.002136059989998229,0.002863970010001771,0.005964047744790465,6.263204798195164e-05,0.0002815110409361904,1.1545075924206901e-10,0.0030085536661043862,0.0008608624980146917,1.6814155091122286e-05,0.0008336788946560187,6.536270982413531e-08,1.24177002468976e-06,1.915317199804014e-05,2.1772843500195104e-05,1.0500151859456258e-05,0.007813257270005362,9.33452249052978e-10,0.12376272094015701,0.0020447855526993927,6.69e-05,0.0214,0.0005878325409992435,0.0023331371900216498,0.00037552876797797616,3.974605580080436e-05,0.00363317536980587,6.3096e-08,0.001003,0.13,0.0023260710746787383,0.00038259488433628545,0.0036350120638151853,6.3096e-08,0.0004,0.11,0.00017674643088104127,0.00015312314400000616,0.00015375,0.0005298584120002003,0.0005298584189998872,0.00048754535799925083,0.00048754535400006443,1.1408980700001264e-05,1.14089807e-05,6.140614380975984e-06,6.140614370000166e-06,2.797151279997871e-07,2.797151299999678e-07,0.005537874139985798,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575411493066,4.13812336849594e-05
6,1.705090188289969e-07,4.9445620861912586e-08,159.76413704592443,0.0009803107123195795,0.0013946892886804207,0.000375,0.0021360599899789947,0.0028639700100210053,0.0059640476888587176,6.263059668110382e-05,0.00028151222320792955,6.925272180881627e-11,0.0030085535264430903,0.0008608624704937148,1.6814164567158873e-05,0.0008336789037667127,6.534410754122806e-08,1.2419282882685938e-06,1.9153171977049715e-05,2.1772843501949858e-05,1.0500225613494308e-05,0.007813257270057425,9.334173481512659e-10,0.12376272080551466,0.0020447854847259754,6.69e-05,0.0214,0.0005878369608953812,0.0023331371902401542,0.0003755287677598035,3.974605580162688e-05,0.0036331753676981477,6.3096e-08,0.001003,0.13,0.0023260712742317956,0.00038259468494285985,0.0036350118483761532,6.3096e-08,0.0004,0.11,0.00017674659806464078,0.00015312314400025109,0.00015375,0.0005298584120007001,0.0005298584189996054,0.0004875453579891779,0.00048754535400022533,1.1408980700004334e-05,1.14089807e-05,6.140614391619197e-06,6.1406143700007805e-06,2.7971512799870386e-07,2.797151299998872e-07,0.0055378741398314285,0.005537874139999998,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.0046095754272417275,4.138123352528436e-05
7,2.923011751354233e-07,4.9445578366229944e-08,159.76439970097664,0.0009803108278367788,0.0013946891731632213,0.000375,0.00213605998993856,0.00286397001006144,0.005964047573683771,6.262914611135897e-05,0.0002815134053822925,4.2074085639970236e-11,0.003008553405213288,0.0008608624245689224,1.6814174040587767e-05,0.0008336789128490481,6.532553399906942e-08,1.242068091613042e-06,1.915317193368259e-05,2.1772843504752585e-05,1.0500298775500347e-05,0.007813257270151532,9.333591117984035e-10,0.1237627206903092,0.0020447854142135345,6.69e-05,0.0214,0.0005878413806476971,0.0023331371906784165,0.0003755287673257779,3.974605579880239e-05,0.0036331753632784726,6.3096e-08,0.001003,0.13,0.0023260714575498395,0.00038259450194807153,0.0036350116329699864,6.3096e-08,0.0004,0.11,0.0001767467652220953,0.00015312314400091012,0.00015375,0.000529858412001199,0.0005298584189993236,0.00048754535796739806,0.0004875453540003855,1.1408980700007286e-05,1.14089807e-05,6.140614413974257e-06,6.140614370002062e-06,2.797151279953179e-07,2.7971512999980654e-07,0.005537874139508929,0.005537874139999985,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575459054081,4.138123320197579e-05
8,4.1409333144184964e-07,4.944553687128457e-08,159.7646492639757,0.0009803109996969455,0.0013946890013030546,0.000375,0.002136059989877091,0.002863970010122909,0.005964047402341964,6.262769602292205e-05,0.00028151458746163995,2.6016450551267388e-11,0.0030085532947705645,0.0008608623678838516,1.6814183511369592e-05,0.0008336789219131729,6.530698869353231e-08,1.242197079642083e-06,1.9153171868546116e-05,2.1772843508037382e-05,1.0500371590691581e-05,0.00781325727027755,9.332872351256508e-10,0.12376272059264988,0.0020447853391894182,6.69e-05,0.0214,0.000587845800259925,0.0023331371913170368,0.00037552876669752255,3.974605579026906e-05,0.0036331753565814117,6.3096e-08,0.001003,0.13,0.0023260716260743697,0.0003825943338964144,0.003635011417596326,6.3096e-08,0.0004,0.11,0.00017674693235431157,0.00015312314400209038,0.00015375,0.000529858412001697,0.0005298584189990419,0.00048754535793399964,0.0004875453540005446,1.140898070001012e-05,1.14089807e-05,6.140614447952777e-06,6.140614370004478e-06,2.797151279885232e-07,2.7971512999972576e-07,0.005537874139022435,0.005537874139999955,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575505503254,4.138123272903366e-05
9,5.35885487748276e-07,4.94454963590089e-08,159.76488641648814,0.0009803112249636748,0.0013946887760363253,0.000375,0.002136059989794744,0.002863970010205256,0.0059640471777667485,6.262624627952093e-05,0.0002815157694484549,1.681290632628812e-11,0.0030085531909852126,0.0008608623045677282,1.6814192979485767e-05,0.0008336789309645693,6.528847133695092e-08,1.2423193823505932e-06,1.9153171781982943e-05,2.1772843511498813e-05,1.0500444191538953e-05,0.007813257270429794,9.332069555788375e-10,0.12376272051115104,0.0020447852587664912,6.69e-05,0.0214,0.0005878502197356242,0.002333137192138395,0.0003755287658945486,3.97460557742809e-05,0.0036331753476421405,6.3096e-08,0.001003,0.13,0.0023260717811234015,0.0003825941794570653,0.0036350112022548163,6.3096e-08,0.0004,0.11,0.00017674709946177851,0.00015312314400389986,0.00015375,0.0005298584120021941,0.0005298584189987601,0.00048754535788903767,0.00048754535400070216,1.1408980700012838e-05,1.14089807e-05,6.14061449349975e-06,6.140614370008494e-06,2.7971512797771284e-07,2.797151299996446e-07,0.005537874138376127,0.005537874139999903,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575565284613,4.138123211926064e-05
