,t,H_x,dPsi,ATP_x,ADP_x,AMP_x,GTP_x,GDP_x,Pi_x,NADH_x,QH2_x,OAA_x,ACCOA_x,CIT_x,ICIT_x,AKG_x,SCOA_x,COASH_x,SUC_x,FUM_x,MAL_x,GLU_x,ASP_x,K_x,Mg_x,O2_x,CO2tot_x,Cred_i,ATP_i,ADP_i,AMP_i,Pi_i,H_i,Mg_i,K_i,ATP_c,ADP_c,Pi_c,H_c,Mg_c,K_c,PYR_x,PYR_i,PYR_c,CIT_i,CIT_c,AKG_i,AKG_c,SUC_i,SUC_c,MAL_i,MAL_c,ASP_i,ASP_c,GLU_i,GLU_c,FUM_i,FUM_c,ICIT_i,ICIT_c,GLC_c,G6P_c,PCr_c,AMP_c
0,0.0,4.9445682e-08,159.763746,0.000980310651,0.00139468935,0.000375,0.00213605999,0.00286397001,0.00596404775,6.26326288e-05,0.000281510568,1.42221113e-10,0.00300855373,0.000860862501,1.68141513e-05,0.000833678891,6.53701589e-08,1.24169868e-06,1.9153172e-05,2.17728435e-05,1.05001221e-05,0.00781325727,9.33456035e-10,0.123762721,0.00204478558,6.69e-05,0.0214,0.000587830773,0.00233313719,0.000375528768,3.97460558e-05,0.00363317537,6.3096e-08,0.001003,0.13,0.00232607099,0.000382594969,0.00363501215,6.3096e-08,0.0004,0.11,0.000176746364,0.000153123144,0.00015375,0.000529858412,0.000529858419,0.000487545358,0.000487545354,1.14089807e-05,1.14089807e-05,6.14061438e-06,6.14061437e-06,2.79715128e-07,2.7971513e-07,0.00553787414,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.00460957541,4.13812337e-05
1,2.416797539912665e-08,4.944568230862458e-08,159.76374229467876,0.0009803106508535137,0.0013946893501464864,0.000375,0.0021360599899999987,0.0028639700100000012,0.005964047750146287,6.263262879983778e-05,0.00028151056800015657,1.4222111304320873e-10,0.00300855373,0.0008608625009999998,1.681415130000022e-05,0.000833678891000041,6.537015890001442e-08,1.241698679999928e-06,1.9153172000000012e-05,2.17728435e-05,1.0500122100000035e-05,0.007813257269999973,9.33456035020019e-10,0.12376272100855226,0.0020447855804916065,6.69e-05,0.0214,0.0005878308436177298,0.0023331371900005044,0.0003755287679993158,3.9746055800366574e-05,0.0036331753700017907,6.3096e-08,0.001003,0.13,0.002326070989998322,0.0003825949690016368,0.00363501215,6.3096e-08,0.0004,0.11,0.0001767463639999992,0.00015312314399999828,0.00015375,0.0005298584120000874,0.0005298584189999612,0.0004875453580001014,0.00048754535400002215,1.1408980700000556e-05,1.14089807e-05,6.140614379997453e-06,6.140614370000056e-06,2.797151279998967e-07,2.7971512999998886e-07,0.005537874140000245,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410001709,4.13812337000355e-05
2,4.83359507982533e-08,4.9445682614557214e-08,159.76373862572592,0.0009803106505691691,0.001394689350430831,0.000375,0.0021360599899999974,0.0028639700100000025,0.005964047750430241,6.26326287995224e-05,0.00028151056800046107,1.4222111307988276e-10,0.00300855373,0.0008608625009999997,1.6814151300000417e-05,0.000833678891000082,6.537015890002899e-08,1.2416986799998636e-06,1.9153172000000022e-05,2.1772843500000005e-05,1.050012210000007e-05,0.007813257269999922,9.334560350401993e-10,0.12376272101706505,0.002044785581002548,6.69e-05,0.0214,0.0005878309142351237,0.002333137190000959,0.00037552876799868567,3.974605580072884e-05,0.0036331753700053595,6.3096e-08,0.001003,0.13,0.0023260709899966736,0.0003825949690032436,0.00363501215,6.3096e-08,0.0004,0.11,0.00017674636399999776,0.00015312314400000234,0.00015375,0.0005298584120001748,0.0005298584189999223,0.00048754535800020276,0.0004875453540000443,1.1408980700001112e-05,1.14089807e-05,6.140614379994907e-06,6.140614370000111e-06,2.7971512799979203e-07,2.7971512999997775e-07,0.0055378741400006985,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410003389,4.138123370007125e-05
3,9.66719015965066e-08,4.944568322109428e-08,159.76373135980407,0.0009803106497276184,0.0013946893512723818,0.000375,0.002136059989999995,0.002863970010000005,0.0059640477512706265,6.263262879858829e-05,0.0002815105680013633,1.4222111314144247e-10,0.00300855373,0.0008608625009999997,1.6814151300000766e-05,0.0008336788910001641,6.537015890005831e-08,1.2416986799997486e-06,1.9153172000000046e-05,2.1772843500000022e-05,1.050012210000013e-05,0.007813257269999775,9.33456035080878e-10,0.12376272103401256,0.002044785582062702,6.69e-05,0.0214,0.000587831055469238,0.0023331371900017694,0.00037552876799753235,3.9746055801445044e-05,0.0036331753700160245,6.3096e-08,0.001003,0.13,0.0023260709899934357,0.0003825949690063984,0.0036350121500000002,6.3096e-08,0.0004,0.11,0.00017674636399999362,0.00015312314400002205,0.00015375,0.0005298584120003495,0.0005298584189998447,0.0004875453580004054,0.0004875453540000887,1.1408980700002221e-05,1.14089807e-05,6.1406143799898155e-06,6.140614370000222e-06,2.7971512799957995e-07,2.7971512999995557e-07,0.005537874140002021,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410006691,4.138123370014322e-05
4,1.450078523947599e-07,4.944568381708609e-08,159.76372423634763,0.0009803106483460408,0.0013946893526539594,0.000375,0.0021360599899999913,0.0028639700100000086,0.005964047752650279,6.263262879705344e-05,0.00028151056800284653,1.4222111318197737e-10,0.00300855373,0.0008608625009999998,1.6814151300001006e-05,0.0008336788910002462,6.537015890008793e-08,1.24169867999966e-06,1.915317200000007e-05,2.1772843500000056e-05,1.0500122100000184e-05,0.007813257269999535,9.33456035122185e-10,0.12376272105080553,0.0020447855831985983,6.69e-05,0.0214,0.0005878311967020022,0.002333137190002385,0.00037552876799659056,3.974605580214512e-05,0.003633175370033694,6.3096e-08,0.001003,0.13,0.0023260709899903123,0.00038259496900943773,0.003635012150000001,6.3096e-08,0.0004,0.11,0.00017674636399998695,0.00015312314400006458,0.00015375,0.0005298584120005242,0.0005298584189997671,0.000487545358000608,0.0004875453540001331,1.140898070000333e-05,1.14089807e-05,6.140614379984727e-06,6.140614370000333e-06,2.797151279993624e-07,2.797151299999334e-07,0.005537874140004165,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.00460957541000988,4.138123370021615e-05
5,1.933438031930132e-07,4.9445684402752325e-08,159.76371725238718,0.000980310646435695,0.0013946893545643052,0.000375,0.0021360599899999866,0.0028639700100000134,0.005964047754557951,6.263262879492957e-05,0.00028151056800490007,1.4222111320608703e-10,0.00300855373,0.0008608625010000001,1.681415130000112e-05,0.0008336788910003282,6.537015890011765e-08,1.241698679999594e-06,1.9153172000000093e-05,2.1772843500000107e-05,1.0500122100000232e-05,0.007813257269999206,9.334560351641033e-10,0.12376272106744719,0.0020447855844086572,6.69e-05,0.0214,0.0005878313379334108,0.0023331371900028085,0.0003755287679958556,3.974605580283015e-05,0.003633175370058263,6.3096e-08,0.001003,0.13,0.002326070989987299,0.0003825949690123657,0.003635012150000003,6.3096e-08,0.0004,0.11,0.00017674636399997782,0.00015312314400012955,0.00015375,0.0005298584120006988,0.0005298584189996895,0.0004875453580008105,0.0004875453540001775,1.1408980700004439e-05,1.14089807e-05,6.140614379979642e-06,6.140614370000444e-06,2.7971512799913955e-07,2.797151299999112e-07,0.005537874140007115,0.00553787414,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410012959,4.138123370029e-05
6,5.282463185690935e-07,4.944568819320433e-08,159.76367247567785,0.0009803106195058254,0.0013946893814941747,0.000375,0.002136059989999888,0.002863970010000112,0.005964047781449495,6.263262876489972e-05,0.00028151056803400396,1.4222111315017605e-10,0.00300855373,0.0008608625010000058,1.6814151299997103e-05,0.0008336788910008972,6.537015890031166e-08,1.2416986799996061e-06,1.9153172000000337e-05,2.177284350000068e-05,1.0500122100000506e-05,0.00781325726999459,9.33456035470282e-10,0.12376272117883265,0.0020447855947133527,6.69e-05,0.0214,0.0005878323164376707,0.0023331371900007364,0.0003755287679961097,3.974605580723999e-05,0.0036331753704102855,6.3096e-08,0.001003,0.13,0.002326070989969163,0.00038259496902989077,0.0036350121500000636,6.3096e-08,0.0004,0.11,0.00017674636399984966,0.0001531231440011657,0.00015375,0.0005298584120019055,0.0005298584189991514,0.000487545358002212,0.00048754535400048516,1.140898070001211e-05,1.14089807e-05,6.140614379944489e-06,6.14061437000121e-06,2.7971512799745634e-07,2.797151299997573e-07,0.005537874140048606,0.005537874140000002,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410031577,4.1381233700823974e-05
7,8.631488339451736e-07,4.944569156387072e-08,159.76363336959864,0.0009803105710821367,0.0013946894299178634,0.000375,0.00213605998999959,0.0028639700100004098,0.005964047829802566,6.263262871064497e-05,0.00028151056808678725,1.4222111323717927e-10,0.003008553729999999,0.0008608625010000226,1.681415129998062e-05,0.0008336788910014673,6.537015890044192e-08,1.2416986800001184e-06,1.9153172000000805e-05,2.1772843500001116e-05,1.0500122100000959e-05,0.007813257269986228,9.334560358010175e-10,0.12376272128406729,0.002044785608032679,6.69e-05,0.0214,0.0005878332948748762,0.0023331371899906646,0.00037552876800473546,3.974605581128043e-05,0.0036331753710573066,6.3096e-08,0.001003,0.13,0.0023260709899549856,0.0003825949690434262,0.003635012150000273,6.3096e-08,0.0004,0.11,0.00017674636399961775,0.00015312314400313764,0.00015375,0.0005298584120031078,0.0005298584189986134,0.0004875453580036106,0.0004875453540007929,1.140898070001976e-05,1.1408980700000002e-05,6.140614379909471e-06,6.140614370001973e-06,2.7971512799555427e-07,2.7971512999960325e-07,0.005537874140123636,0.005537874140000009,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410046267,4.138123370138898e-05
8,1.1980513493212538e-06,4.944569457130793e-08,159.76359916966229,0.0009803105040632522,0.001394689496936748,0.000375,0.002136059989998989,0.002863970010001011,0.005964047896721286,6.263262863518432e-05,0.00028151056816049376,1.4222111349101453e-10,0.0030085537299999977,0.0008608625010000548,1.681415129994687e-05,0.0008336788910020392,6.537015890045807e-08,1.2416986800013425e-06,1.9153172000001625e-05,2.177284350000078e-05,1.0500122100001953e-05,0.007813257269974545,9.334560361535518e-10,0.12376272138398056,0.0020447856239600827,6.69e-05,0.0214,0.0005878342732435568,0.0023331371899734657,0.0003755287680206208,3.974605581518999e-05,0.0036331753719721954,6.3096e-08,0.001003,0.13,0.002326070989943877,0.0003825949690538705,0.003635012150000714,6.3096e-08,0.0004,0.11,0.00017674636399929347,0.0001531231440059403,0.00015375,0.0005298584120043055,0.0005298584189980755,0.0004875453580050064,0.0004875453540011007,1.140898070002739e-05,1.1408980700000004e-05,6.140614379874581e-06,6.140614370002734e-06,2.797151279934616e-07,2.797151299994491e-07,0.005537874140228344,0.005537874140000023,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410057912,4.1381233701976454e-05
9,1.532953864697334e-06,4.9445697264678524e-08,159.7635692113264,0.0009803104209688445,0.0013946895800311557,0.000375,0.002136059989997994,0.002863970010002006,0.005964047979688366,6.263262854114215e-05,0.00028151056825272743,1.4222111352903522e-10,0.003008553729999995,0.0008608625010001064,1.6814151299891695e-05,0.0008336788910026134,6.537015890031712e-08,1.2416986800038544e-06,1.915317200000291e-05,2.177284349999911e-05,1.0500122100003813e-05,0.007813257269959902,9.33456036525984e-10,0.12376272147929344,0.0020447856421421627,6.69e-05,0.0214,0.0005878352515424354,0.002333137189949878,0.00037552876804284056,3.974605581915566e-05,0.0036331753731312314,6.3096e-08,0.001003,0.13,0.0023260709899351473,0.00038259496906191946,0.003635012150001462,6.3096e-08,0.0004,0.11,0.00017674636399888665,0.00015312314400948225,0.00015375,0.0005298584120054987,0.0005298584189975379,0.00048754535800639936,0.0004875453540014086,1.1408980700035001e-05,1.1408980700000005e-05,6.14061437983981e-06,6.140614370003492e-06,2.7971512799120296e-07,2.797151299992948e-07,0.005537874140359375,0.005537874140000045,1.5e-05,6.25e-05,7.08405956e-05,7.08405956e-05,0.00725,9.125e-05,0.004609575410067192,4.1381233702579806e-05
